Timestamp,1. Država ,2. Spol,3. Razred/letnik študija ,4. Kako dobro poznate umetno inteligenco?,"2.1 Kako pogosto trenutno uporabljate orodja generativne umetne inteligence (npr. ChatGPT, Claude, Gemini, Midjourney)?",2.2 Za katere glavne naloge uporabljate umetno inteligenco? (Izberite do 3),"2.2.1 Kako običajno ravnate z izhodnimi podatki, ko ustvarjate besedilo ali vsebino z umetno inteligenco?","2.2.2 Kako običajno ocenjujete kakovost izhodnih podatkov, ki jih ustvari umetna inteligenca, v primerjavi s tem, kar bi lahko naredili sami?","2.2.3 Kako na splošno uporaba umetne inteligence vpliva na čas in trud, potrebna za vaše naloge?","2.2.4  Koliko časa in truda običajno porabite za komunikacijo z umetno inteligenco (npr. za predelavo navodil za » «, za prošnje za popravke), da dosežete zadovoljiv rezultat?","2.3 Kako zelo ste prepričani v svojo sposobnost, da razlikujete besedilo ali sliko, ki jo je ustvaril človek, od tiste, ki jo je ustvarila umetna inteligenca?","2.3.1 Kaj ponavadi storite, ko vam orodje AI prikaže nove zgodovinske, znanstvene ali dejanske informacije?","2.3.2 Ali ste kdaj opazili, da je AI orodje popolnoma izmislilo vir, dejstvo ali ime, ki je zvenelo izjemno prepričljivo, a je bilo v resnici lažno?","2.3.3 Ali ste kdaj opazili, da slike ali besedila, ki jih ustvari umetna inteligenca, pogosto odražajo kulturne ali spolne stereotipe (npr. zdravnike večinoma prikazujejo kot moške, medicinske sestre pa kot ženske)?","2.4 Ko razmišljate o vključevanju umetne inteligence v šolo in izobraževanje, kateri od naslednjih občutkov prevladujejo? (Izberite do 3)",DS1.1 Ko je na voljo nova digitalna tehnologija:,"DS1.2 Kako pogosto uporabljate orodja generativne umetne inteligence posebej za naloge, povezane s šolo ali delom ( )?",DS1.3 Umetno inteligenco vidite predvsem kot:,"DS1.5 Moji učitelji mi dajejo jasna navodila in podporo glede tega, kako uporabljati umetno inteligenco v mojem izobraževanju. ","DS2 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami o delovanju umetne inteligence. [Orodja AI resnično »razumejo« pomen besedila, ki ga ustvarjajo.]","DS2 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami o delovanju umetne inteligence. [Informacije, ki jih zagotavlja umetna inteligenca, so na splošno nevtralne, objektivne in nepristranske.]","DS2 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami o delovanju umetne inteligence. [Menim, da je umetna inteligenca po naravi pametnejša in sposobnejša od ljudi.]","DS2 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami o delovanju umetne inteligence. [Običajno zaupam dejanski točnosti odgovorov, ki jih ustvari umetna inteligenca, ne da bi čutil potrebo po dodatnem preverjanju drugih virov.]","DS2 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami o delovanju umetne inteligence. [Jasno razumem, kako pomočnik GenAI ustvarja svoje odgovore.]","DS2 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami o delovanju umetne inteligence. [Način, kako AI zaprosim za nekaj, nima nobenega vpliva na kakovost pridobljenega rezultata.]","DS3 Kako zaskrbljeni ste zaradi naslednjih potencialnih posledic uporabe umetne inteligence v izobraževanju? [Učitelji me bodo nepravično obtožili, da za svoje naloge uporabljam umetno inteligenco, čeprav tega ne počnem.]",DS3 Kako zaskrbljeni ste zaradi naslednjih potencialnih posledic uporabe umetne inteligence v izobraževanju? [Uporaba umetne inteligence pri opravljanju domačih nalog mi bo odvzela sposobnost kritičnega razmišljanja in samostojnega učenja.],"DS3 Kako zaskrbljeni ste zaradi naslednjih potencialnih posledic uporabe umetne inteligence v izobraževanju? [Težavnost razlikovanja med vsebino, ki jo je ustvaril človek, in vsebino, ki jo je ustvarila umetna inteligenca (npr. lažne novice, deepfakes).]","DS3 Kako zaskrbljeni ste zaradi naslednjih potencialnih posledic uporabe umetne inteligence v izobraževanju? [Orodja umetne inteligence bi lahko okrepila obstoječe družbene predsodke in diskriminacijo (npr. spol, rasa, kulturni stereotipi).]",DS3 Kako zaskrbljeni ste zaradi naslednjih potencialnih posledic uporabe umetne inteligence v izobraževanju? [Neenak dostop do vrhunskih (plačljivih) orodij umetne inteligence bo ustvaril nepravične prednosti med študenti.],"DS3.8 Skrbi me, da se zaradi zanašanja na umetno inteligenco pri ustvarjanju visokokakovostnega dela počutim manj sposobnega ali pametnega, ko moram podobne naloge opraviti sam.","DS4 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami glede vaših pričakovanj v zvezi z umetno inteligenco.  [Pričakujem, da bo umetna inteligenca znatno pospešila moje vsakodnevne študijske/delovne naloge in me naredila bolj učinkovitega.]","DS4 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami glede vaših pričakovanj v zvezi z umetno inteligenco.  [Verjamem, da lahko umetna inteligenca učna gradiva popolnoma prilagodi individualnemu tempu in slogu učenja vsakega učenca.]","DS4 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami glede vaših pričakovanj v zvezi z umetno inteligenco.  [Pričakujem, da bo umetna inteligenca omogočila lažji dostop do učenja in večjo vključenost študentov z različnimi kognitivnimi potrebami ali jezikovnimi ovirami.]","DS4 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami glede vaših pričakovanj v zvezi z umetno inteligenco.  [Umetno inteligenco vidim kot nepristranskega mentorja, ki je na voljo 24 ur na dan, 7 dni v tednu, da odgovarja na moja vprašanja, ne da bi se pri tem počutil neprimernega.]","DS4 Prosimo, navedite, v kolikšni meri se strinjate z naslednjimi trditvami glede vaših pričakovanj v zvezi z umetno inteligenco.  [Pričakujem, da bo umetna inteligenca zagotovila boljše smernice za moje prihodnje izbire glede študija ali kariere kot tradicionalno šolsko svetovanje.]"
01/04/2026 11:05:50,Slovenija,Moški,1. letnik,"4 – Napreden: Orodja umetne inteligence redno uporabljam za različne naloge in dobro razumem njihove zmogljivosti, omejitve in morebitne pristranskosti.",Nekajkrat na teden,"Zbiranje idej in iskanje navdiha, Pomoč pri domačih nalogah / načrtovanje pouka",Uporabim ga kot osnutek ali navdih in ga močno predelam.,"Umetna inteligenca je ustvarila veliko boljši rezultat, kot bi ga lahko ustvaril sam.",To mi prihrani ogromno časa.,Zmerno (prosim za nekaj popravkov ali izboljšav).,Nisem preveč prepričan,"Vprašam umetno inteligenco, ali je prepričana o odgovoru.","Ne, nikoli.",Na ta vidik še nikoli nisem bil pozoren.,"Upanje, Navdušenje, Sum","Počakate, da postane splošno razširjena in jo uporablja večina ljudi.",Nekajkrat na teden,Bližnjico (za opravljanje težkih nalog ali za reševanje mojih nalog).,Se ne strinjam,Se strinjam,Se strinjam,Se ne strinjam,Se strinjam,Se strinjam,Se sploh ne strinjam,Sploh nisem zaskrbljen,Malo sem zaskrbljen,Zmerno sem zaskrbljen,Sploh nisem zaskrbljen,Malo sem zaskrbljen,Strinjam se,Se ne strinjam,Se ne strinjam,Se strinjam,Se popolnoma strinjam,Se strinjam
01/04/2026 11:05:26,Slovenija,Moški,1. letnik,"5 – Strokovnjak: Dobro razumem, kako deluje umetna inteligenca, jo obsežno uporabljam in bi lahko brez težav naučil druge, kako jo odgovorno uporabljati.",Dnevno,"Reševanje matematičnih/logičnih problemov ali programiranje, Pomoč pri domačih nalogah / načrtovanje pouka, trening plan in random stvari",Uporabim ga kot osnutek ali navdih in ga močno predelam.,"Moje izvirno delo bi bilo boljše, vendar je umetna inteligenca delala hitreje.",To mi prihrani ogromno časa.,Zmerno (prosim za nekaj popravkov ali izboljšav).,Zelo samozavesten,"Sistematično preverjam primarne in avtoritativne vire, da potrdim podatke.","Da, občasno.",Na ta vidik še nikoli nisem bil pozoren.,"Radovednost, Upanje, Navdušenje","Jo preizkusite, ko od prijateljev ali sodelavcev slišite dobre stvari.",Nekajkrat na mesec,Kreativnega pomočnika/sodelavca (za brainstorming in skupno ustvarjanje).,Strinjam se,Se ne strinjam,Se strinjam,Se ne strinjam,Se ne strinjam,Se strinjam,Se ne strinjam,Malo sem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Sploh nisem zaskrbljen,Malo sem zaskrbljen,Ne strinjam se,Se popolnoma strinjam,Se ne strinjam,Se strinjam,Se strinjam,Se strinjam
01/04/2026 11:05:01,Slovenija,Ženski,1. letnik,"4 – Napreden: Orodja umetne inteligence redno uporabljam za različne naloge in dobro razumem njihove zmogljivosti, omejitve in morebitne pristranskosti.",Nekajkrat na teden,"Zbiranje idej in iskanje navdiha, Prevajanje besedil ali učenje jezika, Povzemanje dolgih dokumentov ali člankov, Pomoč pri domačih nalogah / načrtovanje pouka",Uporabim ga kot osnutek ali navdih in ga močno predelam.,Umetna inteligenca in jaz bi ustvarila podoben rezultat.,"Obogati moje delo (mi daje ideje, ki jih sicer ne bi imel), vendar traja približno enako dolgo.",Zmerno (prosim za nekaj popravkov ali izboljšav).,Nekoliko samozavesten,"Opravim hitro iskanje (npr. Google, Wikipedia), da to preverim.","Da, občasno.",Na ta vidik še nikoli nisem bil pozoren.,Skepticizem,"Počakate, da postane splošno razširjena in jo uporablja večina ljudi.",Nekajkrat na teden,Bližnjico (za opravljanje težkih nalog ali za reševanje mojih nalog).,Se ne strinjam,Se ne strinjam,Se strinjam,Se sploh ne strinjam,Se ne strinjam,Se ne strinjam,Se strinjam,Malo sem zaskrbljen,Malo sem zaskrbljen,Zmerno sem zaskrbljen,Sploh nisem zaskrbljen,Sploh nisem zaskrbljen,Ne strinjam se,Se ne strinjam,Se ne strinjam,Se strinjam,Se popolnoma strinjam,Se ne strinjam
01/04/2026 11:04:43,Slovenija,Moški,1. letnik,"4 – Napreden: Orodja umetne inteligence redno uporabljam za različne naloge in dobro razumem njihove zmogljivosti, omejitve in morebitne pristranskosti.",Nekajkrat na teden,"Zbiranje idej in iskanje navdiha, Pisanje/sestavljanje besedil (e-pošte, eseji, poročila), Reševanje matematičnih/logičnih problemov ali programiranje, Ustvarjanje slik ali predstavitev","Pregledam izhodne podatke, ki jih je ustvarila umetna inteligenca, da bi odkril morebitne napake in po potrebi izpopolnil besedilo.","Umetna inteligenca je ustvarila veliko boljši rezultat, kot bi ga lahko ustvaril sam.","Obogati moje delo (mi daje ideje, ki jih sicer ne bi imel), vendar traja približno enako dolgo.","Precej časa (vključim se v dolge pogovore, ki se ponavljajo, dokler izhod ni popoln).",Nisem preveč prepričan,"Vprašam umetno inteligenco, ali je prepričana o odgovoru.","Da, občasno.","Ne, nikoli.","Radovednost, Upanje","Počakate, da postane splošno razširjena in jo uporablja večina ljudi.",Nekajkrat na teden,Pametni iskalnik (za hitro in natančno iskanje informacij).,Se ne strinjam,Se strinjam,Se ne strinjam,Se strinjam,Se ne strinjam,Se ne strinjam,Se strinjam,Malo sem zaskrbljen,Zmerno sem zaskrbljen,Zelo sem zaskrbljen,Zelo sem zaskrbljen,Zmerno sem zaskrbljen,Strinjam se,Se strinjam,Se strinjam,Se strinjam,Se strinjam,Se ne strinjam
01/04/2026 11:04:13,Slovenija,Moški,1. letnik,3 – Srednje napreden: Občasno uporabljam nekatera orodja umetne inteligence za preproste naloge in razumem njihove osnovne funkcije.,Nekajkrat na teden,"Zbiranje idej in iskanje navdiha, Reševanje matematičnih/logičnih problemov ali programiranje, Iskanje podatkov ","Pregledam izhodne podatke, ki jih je ustvarila umetna inteligenca, da bi odkril morebitne napake in po potrebi izpopolnil besedilo.",Umetna inteligenca in jaz bi ustvarila podoben rezultat.,To mi prihrani ogromno časa.,Zmerno (prosim za nekaj popravkov ali izboljšav).,Zelo samozavesten,"Opravim hitro iskanje (npr. Google, Wikipedia), da to preverim.","Da, občasno.",Na ta vidik še nikoli nisem bil pozoren.,"Skepticizem, Sum","Jo preizkusite, ko od prijateljev ali sodelavcev slišite dobre stvari.",Nekajkrat na mesec,Pametni iskalnik (za hitro in natančno iskanje informacij).,Strinjam se,Se ne strinjam,Se ne strinjam,Se ne strinjam,Se ne strinjam,Se strinjam,Se sploh ne strinjam,Malo sem zaskrbljen,Zelo sem zaskrbljen,Malo sem zaskrbljen,Zmerno sem zaskrbljen,Zmerno sem zaskrbljen,Strinjam se,Se ne strinjam,Se strinjam,Se strinjam,Se strinjam,Se sploh ne strinjam
01/04/2026 11:03:34,Slovenija,Moški,1. letnik,"5 – Strokovnjak: Dobro razumem, kako deluje umetna inteligenca, jo obsežno uporabljam in bi lahko brez težav naučil druge, kako jo odgovorno uporabljati.",Dnevno,"Zbiranje idej in iskanje navdiha, Prevajanje besedil ali učenje jezika, Povzemanje dolgih dokumentov ali člankov, Reševanje matematičnih/logičnih problemov ali programiranje, Pomoč pri domačih nalogah / načrtovanje pouka, Ustvarjanje slik ali predstavitev","Umetno inteligenco uporabljam le za pregled ali popravljanje vsebin, ki sem jih v celoti napisal sam.",Umetna inteligenca in jaz bi ustvarila podoben rezultat.,"Obogati moje delo (mi daje ideje, ki jih sicer ne bi imel), vendar traja približno enako dolgo.","Precej časa (vključim se v dolge pogovore, ki se ponavljajo, dokler izhod ni popoln).",Nekoliko samozavesten,"Zaupam mu popolnoma in ga uporabim takšnega, kot je.","Ne, nikoli.","Ne, nikoli.","Radovednost, Upanje, Navdušenje","Jo uporabljate le, če je to nujno potrebno za šolo ali delo.",Nekajkrat na teden,Kreativnega pomočnika/sodelavca (za brainstorming in skupno ustvarjanje).,Popolnoma se strinjam,Se popolnoma strinjam,Se strinjam,Se strinjam,Se ne strinjam,Se popolnoma strinjam,Se popolnoma strinjam,Sploh nisem zaskrbljen,Sploh nisem zaskrbljen,Malo sem zaskrbljen,Sploh nisem zaskrbljen,Malo sem zaskrbljen,Ne strinjam se,Se strinjam,Se strinjam,Se strinjam,Se strinjam,Se strinjam
01/04/2026 11:02:40,Slovenija,Ne-binaren,1. letnik,"4 – Napreden: Orodja umetne inteligence redno uporabljam za različne naloge in dobro razumem njihove zmogljivosti, omejitve in morebitne pristranskosti.",Dnevno,"Povzemanje dolgih dokumentov ali člankov, Reševanje matematičnih/logičnih problemov ali programiranje, Ustvarjanje slik ali predstavitev",Uporabim ga kot osnutek ali navdih in ga močno predelam.,"Umetna inteligenca je ustvarila veliko boljši rezultat, kot bi ga lahko ustvaril sam.","Obogati moje delo (mi daje ideje, ki jih sicer ne bi imel), vendar traja približno enako dolgo.",Zmerno (prosim za nekaj popravkov ali izboljšav).,Nekoliko samozavesten,"Opravim hitro iskanje (npr. Google, Wikipedia), da to preverim.","Da, pogosto.","Ne, nikoli.",Skepticizem,"Jo preizkusite, ko od prijateljev ali sodelavcev slišite dobre stvari.",Nekajkrat na teden,Kreativnega pomočnika/sodelavca (za brainstorming in skupno ustvarjanje).,Strinjam se,Se ne strinjam,Se ne strinjam,Se popolnoma strinjam,Se ne strinjam,Se sploh ne strinjam,Se sploh ne strinjam,Sploh nisem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Sploh nisem zaskrbljen,Zmerno sem zaskrbljen,Strinjam se,Se sploh ne strinjam,Se sploh ne strinjam,Se sploh ne strinjam,Se sploh ne strinjam,Se sploh ne strinjam
01/04/2026 11:02:17,Slovenija,Ženski,1. letnik,"4 – Napreden: Orodja umetne inteligence redno uporabljam za različne naloge in dobro razumem njihove zmogljivosti, omejitve in morebitne pristranskosti.",Nekajkrat na teden,"Pisanje/sestavljanje besedil (e-pošte, eseji, poročila), Reševanje matematičnih/logičnih problemov ali programiranje, Pomoč pri domačih nalogah / načrtovanje pouka","Pregledam izhodne podatke, ki jih je ustvarila umetna inteligenca, da bi odkril morebitne napake in po potrebi izpopolnil besedilo.","Moje izvirno delo bi bilo boljše, vendar je umetna inteligenca delala hitreje.",To mi prihrani ogromno časa.,"Precej časa (vključim se v dolge pogovore, ki se ponavljajo, dokler izhod ni popoln).",Nekoliko samozavesten,"Opravim hitro iskanje (npr. Google, Wikipedia), da to preverim.","Da, občasno.",Na ta vidik še nikoli nisem bil pozoren.,"Upanje, Skepticizem, Sum","Jo preizkusite, ko od prijateljev ali sodelavcev slišite dobre stvari.",Nekajkrat na teden,Bližnjico (za opravljanje težkih nalog ali za reševanje mojih nalog).,Popolnoma se strinjam,Se ne strinjam,Se strinjam,Se ne strinjam,Se strinjam,Se ne strinjam,Se ne strinjam,Malo sem zaskrbljen,Zmerno sem zaskrbljen,Zmerno sem zaskrbljen,Zmerno sem zaskrbljen,Zmerno sem zaskrbljen,Strinjam se,Se ne strinjam,Se ne strinjam,Se ne strinjam,Se sploh ne strinjam,Se sploh ne strinjam
01/04/2026 11:01:34,Slovenija,Ženski,1. letnik,3 – Srednje napreden: Občasno uporabljam nekatera orodja umetne inteligence za preproste naloge in razumem njihove osnovne funkcije.,Dnevno,"Zbiranje idej in iskanje navdiha, Prevajanje besedil ali učenje jezika, Povzemanje dolgih dokumentov ali člankov, Reševanje matematičnih/logičnih problemov ali programiranje, Pomoč pri domačih nalogah / načrtovanje pouka, Ustvarjanje slik ali predstavitev","Pregledam izhodne podatke, ki jih je ustvarila umetna inteligenca, da bi odkril morebitne napake in po potrebi izpopolnil besedilo.","Umetna inteligenca je ustvarila veliko boljši rezultat, kot bi ga lahko ustvaril sam.","Obogati moje delo (mi daje ideje, ki jih sicer ne bi imel), vendar traja približno enako dolgo.",Zmerno (prosim za nekaj popravkov ali izboljšav).,Nekoliko samozavesten,"Vprašam umetno inteligenco, ali je prepričana o odgovoru.","Da, občasno.","Da, občasno.",Radovednost,"Počakate, da postane splošno razširjena in jo uporablja večina ljudi.",Nekajkrat na teden,Pametni iskalnik (za hitro in natančno iskanje informacij).,Strinjam se,Se ne strinjam,Se strinjam,Se strinjam,Se ne strinjam,Se ne strinjam,Se ne strinjam,Malo sem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Strinjam se,Se strinjam,Se strinjam,Se strinjam,Se strinjam,Se strinjam
01/04/2026 11:01:27,Slovenija,Ženski,1. letnik,"4 – Napreden: Orodja umetne inteligence redno uporabljam za različne naloge in dobro razumem njihove zmogljivosti, omejitve in morebitne pristranskosti.",Dnevno,"Povzemanje dolgih dokumentov ali člankov, Pisanje/sestavljanje besedil (e-pošte, eseji, poročila), Pomoč pri domačih nalogah / načrtovanje pouka","Pregledam izhodne podatke, ki jih je ustvarila umetna inteligenca, da bi odkril morebitne napake in po potrebi izpopolnil besedilo.",Umetna inteligenca in jaz bi ustvarila podoben rezultat.,To mi prihrani ogromno časa.,Zmerno (prosim za nekaj popravkov ali izboljšav).,Nekoliko samozavesten,"Opravim hitro iskanje (npr. Google, Wikipedia), da to preverim.","Da, občasno.","Da, občasno.",Option 1,"Počakate, da postane splošno razširjena in jo uporablja večina ljudi.",Dnevno,Osebnega učitelja/mentorja (za razlago pojmov in pomoč pri učenju).,Strinjam se,Se ne strinjam,Se ne strinjam,Se strinjam,Se ne strinjam,Se strinjam,Se sploh ne strinjam,Zmerno sem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Sploh nisem zaskrbljen,Zmerno sem zaskrbljen,Strinjam se,Se ne strinjam,Se sploh ne strinjam,Se popolnoma strinjam,Se ne strinjam,Se strinjam
01/04/2026 11:01:25,Slovenija,Ženski,1. letnik,3 – Srednje napreden: Občasno uporabljam nekatera orodja umetne inteligence za preproste naloge in razumem njihove osnovne funkcije.,Nekajkrat na teden,"Zbiranje idej in iskanje navdiha, Prevajanje besedil ali učenje jezika, Povzemanje dolgih dokumentov ali člankov, Pisanje/sestavljanje besedil (e-pošte, eseji, poročila), Reševanje matematičnih/logičnih problemov ali programiranje, Pomoč pri domačih nalogah / načrtovanje pouka, Ustvarjanje slik ali predstavitev","Pregledam izhodne podatke, ki jih je ustvarila umetna inteligenca, da bi odkril morebitne napake in po potrebi izpopolnil besedilo.",Rezultat umetne inteligence je bil slab/napačen in večino sem moral ponoviti.,"Obogati moje delo (mi daje ideje, ki jih sicer ne bi imel), vendar traja približno enako dolgo.",Zmerno (prosim za nekaj popravkov ali izboljšav).,Nekoliko samozavesten,"Vprašam umetno inteligenco, ali je prepričana o odgovoru.","Da, občasno.","Da, občasno.",Upanje,"Jo uporabljate le, če je to nujno potrebno za šolo ali delo.",Nekajkrat na teden,Kreativnega pomočnika/sodelavca (za brainstorming in skupno ustvarjanje).,Strinjam se,Se ne strinjam,Se strinjam,Se ne strinjam,Se strinjam,Se strinjam,Se strinjam,Izredno sem zaskrbljen,Zmerno sem zaskrbljen,Zelo sem zaskrbljen,Zelo sem zaskrbljen,Izredno sem zaskrbljen,Strinjam se,Se strinjam,Se ne strinjam,Se ne strinjam,Se sploh ne strinjam,Se ne strinjam
01/04/2026 11:00:58,Slovenija,Ženski,1. letnik,"2 – Novinec: Poznam osnovne koncepte in sem videl orodja AI, vendar jih sam redko ali nikoli ne uporabljam.",Dnevno,Prevajanje besedil ali učenje jezika,"Ga kopiram in prilepim neposredno, ne da bi ga temeljito prebral.",Umetna inteligenca in jaz bi ustvarila podoben rezultat.,"Obogati moje delo (mi daje ideje, ki jih sicer ne bi imel), vendar traja približno enako dolgo.",Zmerno (prosim za nekaj popravkov ali izboljšav).,Zelo samozavesten,"Zaupam mu popolnoma in ga uporabim takšnega, kot je.","Da, pogosto.","Da, pogosto.",Navdušenje,"Jo uporabljate le, če je to nujno potrebno za šolo ali delo.",Nekajkrat na mesec,Bližnjico (za opravljanje težkih nalog ali za reševanje mojih nalog).,Močno se ne strinjam,Se sploh ne strinjam,Se ne strinjam,Se strinjam,Se strinjam,Se ne strinjam,Se ne strinjam,Sploh nisem zaskrbljen,Sploh nisem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Strinjam se,Se ne strinjam,Se ne strinjam,Se ne strinjam,Se ne strinjam,Se ne strinjam
01/04/2026 11:00:37,Slovenija,Ženski,1. letnik,"4 – Napreden: Orodja umetne inteligence redno uporabljam za različne naloge in dobro razumem njihove zmogljivosti, omejitve in morebitne pristranskosti.",Nekajkrat na teden,"Prevajanje besedil ali učenje jezika, Povzemanje dolgih dokumentov ali člankov, Pisanje/sestavljanje besedil (e-pošte, eseji, poročila), Reševanje matematičnih/logičnih problemov ali programiranje, Pomoč pri domačih nalogah / načrtovanje pouka, Ustvarjanje slik ali predstavitev","Preberem ga, da preverim, ali so v njem večje napake, vendar ga večinoma pustim nespremenjenega.","Moje izvirno delo bi bilo boljše, vendar je umetna inteligenca delala hitreje.",To mi prihrani ogromno časa.,"Precej časa (vključim se v dolge pogovore, ki se ponavljajo, dokler izhod ni popoln).",Nekoliko samozavesten,"Opravim hitro iskanje (npr. Google, Wikipedia), da to preverim.","Da, občasno.",Na ta vidik še nikoli nisem bil pozoren.,Skepticizem,"Počakate, da postane splošno razširjena in jo uporablja večina ljudi.",Nekajkrat na teden,Kreativnega pomočnika/sodelavca (za brainstorming in skupno ustvarjanje).,Se ne strinjam,Se ne strinjam,Se strinjam,Se ne strinjam,Se ne strinjam,Se strinjam,Se strinjam,Malo sem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Malo sem zaskrbljen,Ne strinjam se,Se strinjam,Se ne strinjam,Se strinjam,Se ne strinjam,Se ne strinjam
01/04/2026 11:00:14,Slovenija,Ženski,1. letnik,"4 – Napreden: Orodja umetne inteligence redno uporabljam za različne naloge in dobro razumem njihove zmogljivosti, omejitve in morebitne pristranskosti.",Nekajkrat na teden,"Zbiranje idej in iskanje navdiha, Prevajanje besedil ali učenje jezika, Pisanje/sestavljanje besedil (e-pošte, eseji, poročila), Reševanje matematičnih/logičnih problemov ali programiranje, Pomoč pri domačih nalogah / načrtovanje pouka","Preberem ga, da preverim, ali so v njem večje napake, vendar ga večinoma pustim nespremenjenega.","Umetna inteligenca je ustvarila veliko boljši rezultat, kot bi ga lahko ustvaril sam.",To mi prihrani ogromno časa.,"Precej časa (vključim se v dolge pogovore, ki se ponavljajo, dokler izhod ni popoln).",Nekoliko samozavesten,"Vprašam umetno inteligenco, ali je prepričana o odgovoru.","Da, občasno.","Da, občasno.","Radovednost, Navdušenje","Jo preizkusite, ko od prijateljev ali sodelavcev slišite dobre stvari.",Nekajkrat na teden,Kreativnega pomočnika/sodelavca (za brainstorming in skupno ustvarjanje).,Strinjam se,Se strinjam,Se ne strinjam,Se ne strinjam,Se popolnoma strinjam,Se strinjam,Se strinjam,Zmerno sem zaskrbljen,Zmerno sem zaskrbljen,Zmerno sem zaskrbljen,Zmerno sem zaskrbljen,Zmerno sem zaskrbljen,Strinjam se,Se strinjam,Se strinjam,Se strinjam,Se strinjam,Se strinjam
